"","bearded","ribbon","ringed","spotted","Age"
"1",0,0.001,0.002,0,"1"
"2",0,0.059,0.022,0,"2"
"3",0.003,0.592,0.143,0,"3"
"4",0.032,0.914,0.452,0.337,"4"
"5",0.186,0.962,0.714,0.997,"5"
"6",0.509,0.967,0.822,1,"6"
"7",0.762,0.967,0.848,1,"7"
"8",0.882,0.967,0.834,0.997,"8"
"9",0.938,0.967,0.796,0.901,"9+"
